text,label
Application form for grant of LTC advance,H2
Name of the Government Servant,H1
Date of entering the Central Government,H1
PAY + SI + NPA,H1
Whether permanent or temporary,H1
Home Town as recorded in the Service Book,H1
Whether wife / husband is employed and if,H1
so whether entitled to LTC,H1
Whether the concession is to be availed for,H1
visiting home town and if so block for which,H1
LTC is to be availed.,H1
(a) If the concession is to visit anywhere in,H1
"India, the place to be visited.",H1
(b) Block for which to be availed.,H1
headquarters to home town/place of visit by,H1
shortest route.,H1
Persons in respect of whom LTC is proposed to be availed.,H1
12.  Amount of advance required.,H1
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,H1
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,H1
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,H1
"advance, I undertake to refund the entire advance in one lump sum.",H1
Signature of Government Servant.,H1
Version 1.0,H2
Copyright Notice,H1
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",H1
Software Testing,H1
Foundation Level Extension –   Agile Tester,H1
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,H1
Version 2014,H1
Page 2 of 12,H1
"May 31, 2014",H1
© International Software Testing Qualifications Board,H3
Qualifications Board,H1
18 JUNE 2013,H1
Initial version,H1
23 JULY 2013,H1
WG reviewed and confirmed,H1
6 NOV 2013,H1
amended population and diagram,H1
11 DEC 2013,H1
Amended Business Outcomes and Chapters matching,H1
20 DEC 2013,H1
Working group updates on 0.7,H1
31 MAY 2014,H1
GA release for Agile Extension,H1
Page 3 of 12,H1
Introduction to the Foundation Level Extensions,H1
Introduction to Foundation Level Agile Tester Extension,H1
Intended Audience,H1
Career Paths for Testers,H1
Learning Objectives,H1
Entry Requirements,H1
Structure and Course Duration,H1
Keeping It Current,H1
Overview of the Foundation Level Extension –   Agile Tester Syllabus,H1
Business Outcomes,H1
Documents and Web Sites,H1
Page 4 of 12,H1
This document was produced by a team from the International Software Testing Qualifications Board,H1
Foundation Level Working Group.,H1
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,H1
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",H1
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",H1
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",H1
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",H1
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",H1
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",H1
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",H1
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",H1
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",H1
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",H1
"The team thanks also the following persons, from the National Boards and the Agile expert community,",H1
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",H1
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",H1
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",H1
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",H1
"Morgan,   Ninna Morin,   Ingvar Nordstrom,   Chris   O’Dea,   Klaus   Olsen, Ismo   Paukamainen,   Nathalie Phung,",H1
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",H1
"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",H1
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",H1
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",H1
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",H1
Page 5 of 12,H1
1.  Introduction to the Foundation Level Extensions,H1
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,H1
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,H1
extension syllabi.,H1
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",H1
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",H1
updated document will be available on the ISTQB website.,H1
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,H1
some time. New topics emerge due to technology and methodology changes in the market which often,H1
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",H1
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",H1
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,H1
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",H1
that is beyond the scope of this document.,H1
The following Foundation Level Extension syllabus has been released:,H1
Agile Tester,H1
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",H1
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,H1
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",H1
will outline the benefits for companies that are considering the development of specific testing skills at this,H1
Page 6 of 12,H1
2.  Introduction to Foundation Level Agile Tester Extension,H1
The certification for Foundation Level Extension –   Agile Tester is designed for professionals who are,H1
working within Agile environments. It is also for professionals who are planning to start implementing,H1
"Agile methods in the near future, or are working within companies that plan to do so, The certification",H1
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",H1
methodologies specific to their role.,H1
2.1 Intended Audience,H2
The Foundation Level Extension –   Agile Tester qualification is aimed at four main groups of professionals:,H1
1. Professionals who have achieved in-depth testing experience in traditional methods and would,H1
like to get an Agile Tester Certificate.,H1
"2. Junior professional testers who are just starting in the testing profession, have received the",H1
"Foundation Level certificate, and would like to know more about   the   tester’s   role in an Agile",H1
"3. Professionals who are relatively new to testing and are required to implement test approaches,",H1
methods and techniques in their day to day job in Agile projects.,H1
4. Professionals who are experienced in their role (including unit testing) and need more,H1
understanding and knowledge about how to perform and manage testing on all levels in Agile,H1
"These professionals include people who are in roles such as testers, test analysts, test engineers, test",H1
